p
"(:OntologyClass:NeedsReview {name: cab81-18-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-24-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-24-d})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-24-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-24-d})-[:PARTOF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-28-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-28-d})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-24-d54})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-24-d54})-[:RELATEDTO]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: cab81-22-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-22-d})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-22-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-22-d})-[:RELATEDTO]->(:OntologyClass {name: ChipAntenna, source: Baseline, uri: https://schema.org/ChipAntenna})"
"(:OntologyClass:NeedsReview {name: cab81-22-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-22-d})-[:PARTOF]->(:OntologyClass {name: RFComponent, source: Baseline, uri: https://schema.org/RFComponent})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d54})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d54})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d54})-[:RELATEDTO]->(:OntologyClass {name: PassiveComponent, source: Baseline, uri: https://schema.org/PassiveComponent})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d54})-[:RELATEDTO]->(:OntologyClass {name: RFComponent, source: Baseline, uri: https://schema.org/RFComponent})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d54})-[:RELATEDTO]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d54})-[:RELATEDTO]->(:OntologyClass {name: Resistor, source: Baseline, uri: https://schema.org/Resistor})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d54})-[:RELATEDTO]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d54})-[:RELATEDTO]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d54})-[:RELATEDTO]->(:OntologyClass {name: ChipAntenna, source: Baseline, uri: https://schema.org/ChipAntenna})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d54})-[:ASSOCIATEDWITH]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d})-[:RELATEDTO]->(:OntologyClass {name: Resistor, source: Baseline, uri: https://schema.org/Resistor})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d})-[:ASSOCIATEDWITH]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d})-[:USEDIN]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d})-[:COMPLEMENTARYTO]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d})-[:CATEGORIZEDAS]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d})-[:INCLUDES]->(:OntologyClass {name: ChipAntenna, source: Baseline, uri: https://schema.org/ChipAntenna})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d})-[:INTEGRATEDWITH]->(:OntologyClass {name: FPCAntenna, source: Baseline, uri: https://schema.org/FPCAntenna})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d})-[:BELONGSTOGROUP]->(:OntologyClass {name: RFComponent, source: Baseline, uri: https://schema.org/RFComponent})"
"(:OntologyClass:NeedsReview {name: cab81-16s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-16s-d})-[:PARTOFCATEGORY]->(:OntologyClass {name: PassiveComponent, source: Baseline, uri: https://schema.org/PassiveComponent})"
"(:OntologyClass:NeedsReview {name: cab81-14s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-14s-d})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-14s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-14s-d})-[:RELATEDTO]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: cab81-14s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-14s-d})-[:RELATEDTO]->(:OntologyClass {name: Resistor, source: Baseline, uri: https://schema.org/Resistor})"
"(:OntologyClass:NeedsReview {name: cab81-14s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-14s-d})-[:RELATEDTO]->(:OntologyClass {name: FPCAntenna, source: Baseline, uri: https://schema.org/FPCAntenna})"
"(:OntologyClass:NeedsReview {name: cab81-14s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-14s-d})-[:RELATEDTO]->(:OntologyClass {name: ChipAntenna, source: Baseline, uri: https://schema.org/ChipAntenna})"
"(:OntologyClass:NeedsReview {name: cab81-14s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-14s-d})-[:ASSOCIATEDWITH]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: cab81-14s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-14s-d})-[:PARTOF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-14s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-14s-d})-[:PARTOF]->(:OntologyClass {name: PassiveComponent, source: Baseline, uri: https://schema.org/PassiveComponent})"
"(:OntologyClass:NeedsReview {name: cab81-14s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-14s-d})-[:PARTOF]->(:OntologyClass {name: RFComponent, source: Baseline, uri: https://schema.org/RFComponent})"
"(:OntologyClass:NeedsReview {name: cab81-14s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-14s-d})-[:USEDWITH]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: cab81-14s-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-14s-d})-[:COMPLEMENTARYPART]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: cab81-28-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-28-d54})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-28-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-28-d54})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-32-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-32-d54})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-32-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-32-d})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-18-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d54})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-18-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d54})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-18-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d54})-[:RELATEDTO]->(:OntologyClass {name: RFComponent, source: Baseline, uri: https://schema.org/RFComponent})"
"(:OntologyClass:NeedsReview {name: cab81-18-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d54})-[:RELATEDTO]->(:OntologyClass {name: FPCAntenna, source: Baseline, uri: https://schema.org/FPCAntenna})"
"(:OntologyClass:NeedsReview {name: cab81-18-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d54})-[:PARTOF]->(:OntologyClass {name: PassiveComponent, source: Baseline, uri: https://schema.org/PassiveComponent})"
"(:OntologyClass:NeedsReview {name: cab81-18-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d54})-[:PARTOF]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: cab81-18-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d54})-[:USEDIN]->(:OntologyClass {name: Resistor, source: Baseline, uri: https://schema.org/Resistor})"
"(:OntologyClass:NeedsReview {name: cab81-18-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d54})-[:USEDIN]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: cab81-18-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d54})-[:CLASSIFIEDAS]->(:OntologyClass {name: ChipAntenna, source: Baseline, uri: https://schema.org/ChipAntenna})"
"(:OntologyClass:NeedsReview {name: cab81-18-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d54})-[:CATEGORYOF]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: cab81-18-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d54})-[:FUNCTIONSWITH]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: cab81-36-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-36-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d})-[:RELATEDTO]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: cab81-36-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d})-[:RELATEDTO]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: cab81-36-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d})-[:PARTOF]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: cab80-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab80-24-d54})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab80-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab80-24-d54})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab80-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab80-24-d54})-[:RELATEDTO]->(:OntologyClass {name: PassiveComponent, source: Baseline, uri: https://schema.org/PassiveComponent})"
"(:OntologyClass:NeedsReview {name: cab80-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab80-24-d54})-[:RELATEDTO]->(:OntologyClass {name: RFComponent, source: Baseline, uri: https://schema.org/RFComponent})"
"(:OntologyClass:NeedsReview {name: cab80-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab80-24-d54})-[:RELATEDTO]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: cab80-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab80-24-d54})-[:RELATEDTO]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: cab80-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab80-24-d54})-[:RELATEDTO]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: cab80-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab80-24-d54})-[:RELATEDTO]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: cab80-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab80-24-d54})-[:RELATEDTO]->(:OntologyClass {name: FPCAntenna, source: Baseline, uri: https://schema.org/FPCAntenna})"
"(:OntologyClass:NeedsReview {name: cab80-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab80-24-d54})-[:RELATEDTO]->(:OntologyClass {name: ChipAntenna, source: Baseline, uri: https://schema.org/ChipAntenna})"
"(:OntologyClass:NeedsReview {name: cab80-24-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab80-24-d54})-[:RELATEDTO]->(:OntologyClass {name: Cable, source: Baseline, uri: https://schema.org/Cable})"
"(:OntologyClass:NeedsReview {name: cable assembly, source: learned_from_dataset, uri: https://example.org/ontology#cable assembly})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable assembly, source: learned_from_dataset, uri: https://example.org/ontology#cable assembly})-[:USEDIN]->(:OntologyClass {name: Electrical System})"
"(:OntologyClass:NeedsReview {name: cable clamp, source: learned_from_dataset, uri: https://example.org/ontology#cable clamp})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable clamp, source: learned_from_dataset, uri: https://example.org/ontology#cable clamp})-[:PARTOF]->(:OntologyClass {name: Cable, source: Baseline, uri: https://schema.org/Cable})"
"(:OntologyClass:NeedsReview {name: cable assemblies, source: learned_from_dataset, uri: https://example.org/ontology#cable assemblies})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable assemblies, source: learned_from_dataset, uri: https://example.org/ontology#cable assemblies})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable assemblies, source: learned_from_dataset, uri: https://example.org/ontology#cable assemblies})-[:USEDIN]->(:OntologyClass {name: Interconnect, source: Baseline, uri: https://schema.org/Interconnect})"
"(:OntologyClass:NeedsReview {name: cable caps, source: learned_from_dataset, uri: https://example.org/ontology#cable caps})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable caps, source: learned_from_dataset, uri: https://example.org/ontology#cable caps})-[:HASFUNCTION]->(:OntologyClass {name: Protecting cable ends})"
"(:OntologyClass:NeedsReview {name: cable caps, source: learned_from_dataset, uri: https://example.org/ontology#cable caps})-[:HASPURPOSE]->(:OntologyClass {name: Providing insulation})"
"(:OntologyClass:NeedsReview {name: cable clamp and telescoping bushing, source: learned_from_dataset, uri: https://example.org/ontology#cable clamp and telescoping bushing})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable clamp and telescoping bushing, source: learned_from_dataset, uri: https://example.org/ontology#cable clamp and telescoping bushing})-[:HASFUNCTION]->(:OntologyClass {name: ElectricalProtection})"
"(:OntologyClass:NeedsReview {name: cable clamp and telescoping bushing, source: learned_from_dataset, uri: https://example.org/ontology#cable clamp and telescoping bushing})-[:HASPURPOSE]->(:OntologyClass {name: MechanicalSupport})"
"(:OntologyClass:NeedsReview {name: cable connecting plug, source: learned_from_dataset, uri: https://example.org/ontology#cable connecting plug})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable connecting plug, source: learned_from_dataset, uri: https://example.org/ontology#cable connecting plug})-[:USEDIN]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable connecting plug, source: learned_from_dataset, uri: https://example.org/ontology#cable connecting plug})-[:HASFUNCTION]->(:OntologyClass {name: Connector, source: Baseline, uri: https://schema.org/Connector})"
"(:OntologyClass:NeedsReview {name: cable connecting plug, source: learned_from_dataset, uri: https://example.org/ontology#cable connecting plug})-[:CONNECTS]->(:OntologyClass {name: Cable, source: Baseline, uri: https://schema.org/Cable})"
"(:OntologyClass:NeedsReview {name: cable connection plug, source: learned_from_dataset, uri: https://example.org/ontology#cable connection plug})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable connection plug, source: learned_from_dataset, uri: https://example.org/ontology#cable connection plug})-[:PARTOF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable sealing area, source: learned_from_dataset, uri: https://example.org/ontology#cable sealing area})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable sealing area, source: learned_from_dataset, uri: https://example.org/ontology#cable sealing area})-[:USEDIN]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-36-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d54})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-36-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d54})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cab81-36-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d54})-[:RELATEDTO]->(:OntologyClass {name: PassiveComponent, source: Baseline, uri: https://schema.org/PassiveComponent})"
"(:OntologyClass:NeedsReview {name: cab81-36-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d54})-[:RELATEDTO]->(:OntologyClass {name: RFComponent, source: Baseline, uri: https://schema.org/RFComponent})"
"(:OntologyClass:NeedsReview {name: cab81-36-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d54})-[:RELATEDTO]->(:OntologyClass {name: Resistor, source: Baseline, uri: https://schema.org/Resistor})"
"(:OntologyClass:NeedsReview {name: cab81-36-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d54})-[:RELATEDTO]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: cab81-36-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d54})-[:RELATEDTO]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: cab81-36-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d54})-[:RELATEDTO]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: cab81-36-d54, source: learned_from_dataset, uri: https://example.org/ontology#cab81-36-d54})-[:RELATEDTO]->(:OntologyClass {name: ChipAntenna, source: Baseline, uri: https://schema.org/ChipAntenna})"
"(:OntologyClass:NeedsReview {name: california, source: learned_from_dataset, uri: https://example.org/ontology#california})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable telescoping bushing, source: learned_from_dataset, uri: https://example.org/ontology#cable telescoping bushing})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable telescoping bushing, source: learned_from_dataset, uri: https://example.org/ontology#cable telescoping bushing})-[:RELATEDTO]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: cable jacket sealing, source: learned_from_dataset, uri: https://example.org/ontology#cable jacket sealing})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable jacket sealing, source: learned_from_dataset, uri: https://example.org/ontology#cable jacket sealing})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cable jacket sealing, source: learned_from_dataset, uri: https://example.org/ontology#cable jacket sealing})-[:USEDFOR]->(:OntologyClass {name: Cable, source: Baseline, uri: https://schema.org/Cable})"
"(:OntologyClass:NeedsReview {name: cable jacket sealing, source: learned_from_dataset, uri: https://example.org/ontology#cable jacket sealing})-[:INVOLVEDIN]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
